# netcoevolve=0.1.0 n=1500 rho=1500 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.8 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=13409 (random) output_file=output/simulation-20260102-135746.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.200666667,0.799333333,0.019890594,0.160827218,0.319595286,0.020269513,0.160185902,0.319231488,0.000971950,0.011966044,0.048260192,0.063782389,0.001975754,0.015921963,0.008106065,0.064218216,0.032208521,0.127715352,0.000196380,0.001582591,0.001606066,0.006361860,0.006497860,0.003228072,0.025679789,0.003188420,0.025738849,0.051071085,0.000197055,0.002374143,0.009573328,0.012920156,0.000820415,0.009716868,0.038520143,0.051112195
0.000000000,0.200666667,0.799333333,0.019890594,0.160827218,0.319595286,0.020269513,0.160185902,0.319231488,0.000971950,0.011966044,0.048260192,0.063782389,0.001975754,0.015921963,0.008106065,0.064218216,0.032208521,0.127715352,0.000196380,0.001582591,0.001606066,0.006361860,0.006497860,0.003228072,0.025679789,0.003188420,0.025738849,0.051071085,0.000197055,0.002374143,0.009573328,0.012920156,0.000820415,0.009716868,0.038520143,0.051112195
0.010000007,0.217333333,0.782666667,0.031750945,0.088389593,0.540863687,0.015369357,0.252036469,0.071589949,0.003726871,0.005259787,0.048082229,0.350386357,0.004840453,0.010261151,0.002693271,0.058689903,0.017807627,0.380838996,0.000745323,0.001469967,0.000651744,0.006652647,0.001998111,0.001596731,0.041307196,0.001161711,0.024779136,0.268494119,0.000758164,0.001960832,0.005220247,0.009166836,0.000186270,0.004983688,0.060927177,0.270861209
0.020000009,0.318666667,0.681333333,0.069602846,0.111146987,0.396016900,0.031800756,0.323379142,0.068053369,0.012261975,0.009700988,0.046089298,0.210958836,0.015839020,0.019778830,0.004979167,0.061525833,0.017607602,0.235321608,0.003635258,0.004295892,0.001857753,0.010656413,0.002855510,0.002402267,0.036502554,0.001788473,0.020584653,0.140081777,0.003696154,0.005818037,0.007705357,0.007451513,0.000517421,0.007573588,0.053577703,0.141581146
0.030000003,0.351333333,0.648666667,0.084317545,0.123113187,0.339710029,0.038965533,0.332987325,0.080906382,0.016176187,0.012991936,0.042603348,0.158098437,0.021048862,0.024919528,0.006571963,0.060468284,0.017241577,0.183166593,0.005298661,0.005990705,0.002801448,0.011861398,0.003290011,0.002717225,0.032486229,0.002182239,0.018045914,0.099025458,0.005392072,0.008215796,0.008795000,0.006339072,0.000828151,0.008693976,0.047305505,0.100399521
0.040000002,0.354000000,0.646000000,0.090494997,0.104889482,0.349754058,0.034668446,0.352783634,0.067409384,0.019921948,0.010402425,0.037407877,0.172396551,0.024260644,0.021191994,0.005114404,0.052580531,0.014607297,0.194231222,0.006558413,0.005435699,0.002258674,0.010162218,0.002382525,0.002002934,0.029093078,0.001552393,0.015806689,0.108093081,0.006673343,0.007316561,0.006763194,0.005740369,0.000644519,0.006650916,0.042121742,0.109371383
0.050000006,0.322666667,0.677333333,0.071053591,0.114413164,0.384069380,0.032914387,0.322984212,0.074565266,0.012582457,0.010333445,0.045575076,0.196929056,0.016302741,0.020732665,0.005300333,0.061697004,0.017705545,0.222990427,0.003772716,0.004550402,0.002011585,0.010875898,0.002974811,0.002492444,0.035751354,0.001886903,0.020191841,0.129727298,0.003834912,0.006206366,0.007906793,0.007303618,0.000566229,0.007859967,0.052397796,0.131264814
0.060000004,0.362666667,0.637333333,0.089184790,0.122400712,0.340095175,0.042188125,0.340186791,0.065944407,0.017644375,0.012739090,0.046259500,0.165371020,0.022888071,0.024652746,0.006550943,0.061632271,0.018064790,0.186299269,0.005927402,0.006038427,0.002782065,0.012029730,0.003463857,0.002810934,0.033689125,0.002139359,0.019335521,0.102255366,0.006031232,0.008190734,0.009034610,0.007021347,0.000829000,0.008901090,0.049319557,0.103447550
0.070000003,0.391333333,0.608666667,0.111477874,0.112270402,0.300571937,0.041505003,0.364430509,0.069744274,0.026875264,0.013210068,0.032341134,0.132723116,0.033120759,0.026552537,0.006451617,0.050546702,0.013285515,0.152895771,0.009903781,0.007669035,0.003311023,0.011467373,0.002553621,0.002166722,0.025572977,0.001805446,0.012938505,0.077979979,0.010080831,0.010477596,0.007460997,0.004396342,0.000989580,0.007327659,0.036813392,0.079000255
0.080000001,0.362000000,0.638000000,0.098379364,0.108017790,0.318857016,0.032510563,0.354202357,0.088032911,0.022988892,0.013398882,0.028663152,0.140856453,0.027793225,0.025018091,0.006170664,0.047733067,0.012341420,0.165214787,0.007894101,0.006922737,0.003127396,0.010540945,0.002288511,0.001855970,0.024481067,0.001743520,0.011957548,0.085925914,0.008018458,0.009645206,0.006742401,0.004024449,0.000986798,0.006571049,0.034787670,0.087223931
0.090000003,0.310666667,0.689333333,0.074519013,0.081258617,0.405125195,0.021851901,0.347332889,0.069912386,0.015756389,0.006561168,0.026298828,0.216664693,0.018580587,0.015672507,0.003127665,0.043850206,0.010311100,0.242936876,0.004654864,0.003808939,0.001329560,0.008137542,0.001265719,0.001205726,0.026213779,0.000960846,0.011995942,0.145909858,0.004730420,0.005125241,0.004457092,0.003931586,0.000341194,0.004280833,0.037606151,0.147464479
0.100000008,0.330666667,0.669333333,0.079211030,0.100135201,0.377580609,0.029981766,0.342812542,0.070278853,0.016303636,0.008746343,0.036836768,0.192427289,0.019880906,0.018949006,0.004411084,0.052856088,0.014404200,0.217622481,0.005029422,0.004558553,0.001806666,0.009638107,0.002167836,0.001867214,0.030394631,0.001411689,0.016231141,0.125638130,0.005115427,0.006141602,0.006183539,0.005920683,0.000487913,0.006203979,0.044013193,0.127113533
0.110000000,0.341333333,0.658666667,0.083808761,0.105049589,0.360359351,0.032549700,0.344900156,0.073332444,0.017307618,0.010065844,0.035734640,0.178034740,0.021474577,0.021078145,0.004979674,0.053331160,0.014121886,0.202233963,0.005541908,0.005216234,0.002154607,0.010303759,0.002276676,0.002000941,0.029809524,0.001574666,0.015400346,0.113754935,0.005638104,0.007088821,0.006676850,0.005332350,0.000599463,0.006616320,0.043167693,0.115132560
0.120000002,0.349333333,0.650666667,0.089632199,0.102305537,0.352724928,0.032249944,0.352596842,0.070490549,0.019527084,0.010396546,0.033241648,0.174204505,0.023935176,0.021560565,0.004995187,0.050790377,0.013222964,0.196536472,0.006432835,0.005574930,0.002287448,0.010276028,0.002138530,0.001859073,0.028175803,0.001533106,0.014213929,0.109757000,0.006538513,0.007588514,0.006586094,0.004824921,0.000662166,0.006225513,0.040751242,0.111022494
0.130000002,0.268000000,0.732000000,0.049856349,0.095718034,0.462821437,0.021836780,0.296895708,0.072871692,0.007672679,0.006911845,0.043855477,0.270398741,0.009696457,0.014104594,0.003501137,0.057405733,0.016604216,0.298828551,0.001903509,0.002597625,0.001094298,0.008200761,0.002159388,0.001789756,0.037015386,0.001330887,0.021096260,0.193238237,0.001936681,0.003467781,0.005967319,0.007647968,0.000305374,0.005708993,0.054199032,0.195210883
0.140000000,0.261333333,0.738666667,0.045785190,0.101591283,0.476140538,0.022381143,0.284742717,0.069359128,0.006427367,0.007307612,0.051103788,0.284160110,0.008365843,0.014272593,0.003726197,0.063164819,0.019030156,0.312595588,0.001543889,0.002455266,0.001086432,0.008676626,0.002590326,0.002101247,0.041442716,0.001534583,0.024761878,0.205514365,0.001568852,0.003309962,0.006704401,0.009183089,0.000303114,0.006539338,0.061113120,0.207509632
0.150000002,0.287333333,0.712666667,0.056793418,0.107573049,0.427200356,0.025630420,0.302245942,0.080556816,0.009040544,0.008985632,0.044799794,0.233921588,0.011682537,0.017605913,0.004557254,0.060830044,0.017448429,0.262691912,0.002422945,0.003471906,0.001570669,0.009666683,0.002642738,0.002181215,0.037321565,0.001686363,0.020955947,0.161852877,0.002462785,0.004742126,0.007092053,0.007503283,0.000459394,0.006961712,0.054553260,0.163785908
0.160000008,0.320000000,0.680000000,0.072876140,0.108994441,0.373596620,0.029378697,0.326495886,0.088658217,0.013953545,0.010764188,0.038269474,0.184345785,0.017354433,0.020432329,0.005269385,0.054888719,0.015525270,0.211916134,0.004165918,0.004690673,0.002138900,0.009844462,0.002539177,0.002053762,0.030950369,0.001694935,0.016949056,0.120577258,0.004236756,0.006436928,0.006879406,0.006133998,0.000650313,0.006829515,0.044640135,0.122301065
0.170000003,0.358666667,0.641333333,0.092485657,0.111958194,0.333637536,0.036002668,0.348398488,0.077517456,0.019898924,0.012229767,0.035063550,0.155415465,0.024827422,0.024166468,0.005925445,0.053452813,0.014264915,0.178846739,0.006710857,0.006289132,0.002753411,0.011095388,0.002561385,0.002179334,0.028499708,0.001827394,0.014703842,0.096138380,0.006825828,0.008634798,0.007443312,0.005009181,0.000806095,0.007291554,0.041066746,0.097482755
0.180000010,0.400666667,0.599333333,0.114324216,0.116051590,0.296150322,0.046049366,0.364534579,0.062889927,0.027643500,0.013441051,0.037273068,0.132290462,0.034176362,0.026726788,0.006671008,0.053030817,0.014812011,0.150519928,0.010302605,0.007669938,0.003328425,0.011701078,0.002893484,0.002406583,0.026842815,0.001898424,0.014602912,0.076687202,0.010480542,0.010434778,0.007939792,0.005283043,0.000972102,0.007933006,0.038843153,0.077693431
0.190000005,0.405333333,0.594666667,0.124622637,0.105641094,0.283912831,0.039511674,0.376756949,0.069554814,0.033230420,0.013616336,0.026372939,0.120125929,0.039821244,0.027383255,0.006281024,0.045189478,0.011032094,0.139648402,0.012789374,0.008567790,0.003568555,0.011211746,0.002115754,0.001855489,0.022057664,0.001661189,0.010282155,0.068886475,0.013012576,0.011767323,0.006784533,0.003286329,0.001030980,0.006685492,0.031280876,0.069890206
0.200000001,0.418000000,0.582000000,0.123108739,0.123944852,0.272903714,0.051452969,0.362931732,0.065657994,0.030110368,0.015927493,0.036475573,0.114422176,0.037880048,0.030347756,0.007886764,0.053414589,0.014902813,0.132064085,0.011748665,0.009018616,0.004157714,0.012551847,0.003244978,0.002658764,0.025705589,0.002182841,0.013861940,0.064099968,0.011955321,0.012388735,0.008754497,0.004919017,0.001270667,0.008786966,0.037120747,0.065006658
