# netcoevolve=0.1.0 n=1500 rho=1500 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.8 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=30667 (random) output_file=output/simulation-20260102-134733.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.206000000,0.794000000,0.021118968,0.163958194,0.315656660,0.021207916,0.163388036,0.314670225,0.001075788,0.012616096,0.048907516,0.062706695,0.002169639,0.016787994,0.008481784,0.065097033,0.032606757,0.125426475,0.000223041,0.001725839,0.001738087,0.006669865,0.006751678,0.003358406,0.025883614,0.003338518,0.025909280,0.049871503,0.000223799,0.002589011,0.010023628,0.012988147,0.000881116,0.010109806,0.038826550,0.049912821
0.000000000,0.206000000,0.794000000,0.021118968,0.163958194,0.315656660,0.021207916,0.163388036,0.314670225,0.001075788,0.012616096,0.048907516,0.062706695,0.002169639,0.016787994,0.008481784,0.065097033,0.032606757,0.125426475,0.000223041,0.001725839,0.001738087,0.006669865,0.006751678,0.003358406,0.025883614,0.003338518,0.025909280,0.049871503,0.000223799,0.002589011,0.010023628,0.012988147,0.000881116,0.010109806,0.038826550,0.049912821
0.010000014,0.170666667,0.829333333,0.022225484,0.048789860,0.631896820,0.006807205,0.234478097,0.055802535,0.002537790,0.001873666,0.025237865,0.462491456,0.003010327,0.004735272,0.000891051,0.034932181,0.009048133,0.488158100,0.000410083,0.000612082,0.000191836,0.003268854,0.000531509,0.000486309,0.026960662,0.000358610,0.013823544,0.377514923,0.000417107,0.000774919,0.002099331,0.004528366,0.000047404,0.001631328,0.039409042,0.379861903
0.020000014,0.258666667,0.741333333,0.044980209,0.103357794,0.474997554,0.021800311,0.280414499,0.074449633,0.006216357,0.007667723,0.050143394,0.283285040,0.008140926,0.014693147,0.003910759,0.063252701,0.018904568,0.311445841,0.001487150,0.002522859,0.001158650,0.008765496,0.002620644,0.002114299,0.041426975,0.001578672,0.024392200,0.204543972,0.001510881,0.003428596,0.006768662,0.008952522,0.000338057,0.006607803,0.060981741,0.206659887
0.030000001,0.280666667,0.719333333,0.053065599,0.108803202,0.438933511,0.025573493,0.295251946,0.078372248,0.008080809,0.008962965,0.049582987,0.247475620,0.010476232,0.016736481,0.004544229,0.062853686,0.018991761,0.275014626,0.002088437,0.003133708,0.001470536,0.009369801,0.002857110,0.002263379,0.039304991,0.001720306,0.023325444,0.172655332,0.002123300,0.004260510,0.007270009,0.008639834,0.000443240,0.007133359,0.057650899,0.174650048
0.040000001,0.286666667,0.713333333,0.059495664,0.093475650,0.426004892,0.022545697,0.315774961,0.082703135,0.010489700,0.007622932,0.035273180,0.233147684,0.012907921,0.015607698,0.003769144,0.051212406,0.013902753,0.261571222,0.002820257,0.003266506,0.001374824,0.008179721,0.001858001,0.001563815,0.031308999,0.001231963,0.016507881,0.160975910,0.002868399,0.004424021,0.005341070,0.005890849,0.000405111,0.005235143,0.045247521,0.162919268
0.050000006,0.242000000,0.758000000,0.039066934,0.094060930,0.504862797,0.019374694,0.273055815,0.069578830,0.005210347,0.006080796,0.050786434,0.314432626,0.006640845,0.011580185,0.003164955,0.060023875,0.018824974,0.342845659,0.001142820,0.001823442,0.000821898,0.007167125,0.002306884,0.001790347,0.040731879,0.001265324,0.025284077,0.233138837,0.001164093,0.002400449,0.005682115,0.009706739,0.000243763,0.005594482,0.060014755,0.235225401
0.060000001,0.190666667,0.809333333,0.027214588,0.054755615,0.614873026,0.009036246,0.254076051,0.040044474,0.003516594,0.002155707,0.034726183,0.451664786,0.004092815,0.005170840,0.001064498,0.039945547,0.012207051,0.471390104,0.000620898,0.000714510,0.000222440,0.003647834,0.000816645,0.000650734,0.030626497,0.000450074,0.018620289,0.361683851,0.000630617,0.000888316,0.002562244,0.007210186,0.000054038,0.002109460,0.045081839,0.363444701
0.070000004,0.206000000,0.794000000,0.029474761,0.076978430,0.562303758,0.012852124,0.250367801,0.068023127,0.003576750,0.004153371,0.043809550,0.376459367,0.004434532,0.008239638,0.002078774,0.051944249,0.016029808,0.405517489,0.000674476,0.001150547,0.000476317,0.005373557,0.001533942,0.001204738,0.037432000,0.000872594,0.022872146,0.292812416,0.000686315,0.001504507,0.004111763,0.008741940,0.000134989,0.003812558,0.055051690,0.295192247
0.080000004,0.132000000,0.868000000,0.014806315,0.022215699,0.726498555,0.002541250,0.207089171,0.026849010,0.001568654,0.000442452,0.013024800,0.596007051,0.001715723,0.001594520,0.000206881,0.017617771,0.004491068,0.610965378,0.000199356,0.000178021,0.000036176,0.001215882,0.000116046,0.000107262,0.014820107,0.000071735,0.007521502,0.514170018,0.000201865,0.000208026,0.000694370,0.002517556,0.000008632,0.000384747,0.021794183,0.515347250
