# netcoevolve=0.1.0 n=1500 rho=1500 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.8 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=32925 (random) output_file=output/simulation-20260102-134718.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.206666667,0.793333333,0.021243496,0.164293529,0.314452302,0.021358239,0.163836335,0.314816100,0.001082720,0.012662452,0.048845157,0.062133262,0.002187109,0.016864519,0.008520793,0.065033748,0.032635333,0.124571737,0.000225324,0.001737411,0.001750467,0.006680104,0.006774760,0.003364735,0.025780536,0.003349274,0.025853906,0.049382548,0.000225973,0.002606008,0.010056135,0.012984702,0.000887126,0.010125287,0.038670832,0.049421666
0.000000000,0.206666667,0.793333333,0.021243496,0.164293529,0.314452302,0.021358239,0.163836335,0.314816100,0.001082720,0.012662452,0.048845157,0.062133262,0.002187109,0.016864519,0.008520793,0.065033748,0.032635333,0.124571737,0.000225324,0.001737411,0.001750467,0.006680104,0.006774760,0.003364735,0.025780536,0.003349274,0.025853906,0.049382548,0.000225973,0.002606008,0.010056135,0.012984702,0.000887126,0.010125287,0.038670832,0.049421666
0.010000000,0.236000000,0.764000000,0.037985324,0.089680231,0.514204136,0.017590394,0.271168334,0.069371581,0.005024727,0.005453317,0.046639947,0.320391024,0.006401387,0.011246748,0.002830785,0.058229888,0.017316803,0.351441426,0.001090115,0.001776330,0.000741840,0.007135583,0.002013127,0.001653402,0.039781285,0.001174981,0.023467274,0.240486676,0.001109254,0.002356318,0.005315976,0.008783209,0.000200557,0.005187584,0.058565152,0.242648480
0.020000000,0.198000000,0.802000000,0.029066489,0.059386258,0.585598399,0.010031577,0.258417612,0.057499666,0.003864492,0.002600119,0.034224149,0.406071996,0.004508751,0.005938693,0.001293674,0.041166899,0.012327217,0.433221039,0.000705784,0.000853106,0.000289725,0.003944170,0.000899103,0.000727145,0.030438333,0.000502881,0.018103591,0.320815519,0.000717544,0.001079670,0.002693098,0.006956404,0.000074840,0.002390769,0.044531718,0.323067696
0.030000010,0.147333333,0.852666667,0.017217701,0.034264621,0.694918390,0.004405604,0.217155437,0.032038248,0.001890372,0.000898103,0.023373465,0.552480313,0.002112681,0.002423214,0.000424953,0.026757857,0.008100552,0.569808408,0.000260930,0.000273391,0.000070298,0.001819473,0.000323579,0.000258334,0.021946675,0.000181087,0.013234394,0.467565001,0.000264751,0.000321762,0.001252060,0.004988692,0.000016488,0.000867636,0.032315349,0.469077363
0.040000004,0.200666667,0.799333333,0.025448076,0.094545697,0.578493218,0.014712030,0.226467423,0.060333556,0.002488036,0.005817950,0.062104276,0.396993186,0.003353109,0.009658121,0.002881917,0.066991752,0.022346453,0.424724582,0.000447124,0.001173324,0.000599988,0.006748509,0.002622444,0.001942029,0.049193567,0.001421600,0.032668727,0.312160897,0.000453959,0.001581965,0.006100711,0.012655688,0.000184394,0.005932107,0.073103355,0.314538697
0.050000001,0.187333333,0.812666667,0.026316211,0.057005115,0.602757394,0.008676006,0.247677118,0.057568157,0.003231931,0.002352482,0.030140389,0.422650572,0.003856007,0.005941456,0.001162344,0.040418996,0.010935200,0.451966731,0.000568943,0.000824171,0.000261679,0.004102295,0.000769186,0.000679930,0.030305033,0.000490948,0.016246948,0.339194827,0.000578060,0.001061879,0.002644851,0.005750775,0.000061762,0.002236769,0.044404904,0.341401911
0.060000006,0.208000000,0.792000000,0.030826773,0.070851679,0.566163220,0.012327329,0.258840116,0.060990883,0.004011788,0.003464078,0.040124807,0.382296844,0.004828124,0.007500460,0.001785521,0.048396916,0.014613624,0.410498258,0.000764227,0.001087271,0.000409419,0.004951199,0.001294912,0.001038190,0.035076873,0.000715501,0.020991460,0.297937724,0.000777522,0.001403543,0.003516403,0.008076642,0.000111288,0.003315550,0.051571172,0.300024646
0.070000001,0.185333333,0.814666667,0.025594841,0.055748277,0.616662664,0.008652880,0.246422949,0.046918390,0.003140548,0.002174078,0.033165964,0.446954261,0.003708987,0.005393450,0.001080899,0.040621394,0.011781522,0.471108690,0.000541792,0.000728001,0.000226495,0.003823915,0.000800731,0.000670838,0.031035897,0.000469668,0.017901704,0.360209134,0.000550578,0.000919615,0.002620399,0.006601327,0.000052515,0.002173296,0.045641744,0.362224635
0.080000002,0.160666667,0.839333333,0.018341116,0.058391817,0.648860129,0.007382700,0.211493885,0.055530354,0.001782007,0.002326800,0.036772564,0.483932162,0.002193663,0.004901825,0.001142938,0.043145647,0.013105873,0.508918993,0.000264846,0.000544559,0.000205894,0.003512697,0.000903698,0.000719749,0.033829627,0.000521129,0.020375786,0.399562693,0.000269575,0.000694920,0.002704073,0.007500270,0.000056119,0.002273085,0.049964886,0.401794461
