# netcoevolve=0.1.0 n=2000 rho=2000 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.75 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=23930 (random) output_file=output/simulation-20260102-095220.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.250500000,0.749500000,0.031392196,0.187990995,0.281079040,0.031264132,0.187696348,0.280577289,0.001965615,0.017665634,0.052864894,0.052663984,0.003938234,0.023536075,0.011799831,0.070433207,0.035257745,0.105374417,0.000494309,0.002954137,0.002956095,0.008822498,0.008856663,0.004414518,0.026418139,0.004413714,0.026432753,0.039523822,0.000495323,0.004431393,0.013249752,0.013240364,0.001484986,0.013270039,0.039628782,0.039549669
0.000000000,0.250500000,0.749500000,0.031392196,0.187990995,0.281079040,0.031264132,0.187696348,0.280577289,0.001965615,0.017665634,0.052864894,0.052663984,0.003938234,0.023536075,0.011799831,0.070433207,0.035257745,0.105374417,0.000494309,0.002954137,0.002956095,0.008822498,0.008856663,0.004414518,0.026418139,0.004413714,0.026432753,0.039523822,0.000495323,0.004431393,0.013249752,0.013240364,0.001484986,0.013270039,0.039628782,0.039549669
0.010000001,0.244000000,0.756000000,0.041311156,0.088819910,0.505436718,0.018132566,0.280292646,0.066007004,0.005789702,0.005621085,0.044616586,0.316909898,0.007317665,0.011747528,0.002883936,0.056706837,0.016542772,0.344222919,0.001307935,0.001964523,0.000805739,0.007292954,0.001930092,0.001596766,0.038584366,0.001149044,0.022230674,0.234687198,0.001330547,0.002604495,0.005322921,0.008139548,0.000222513,0.005029853,0.056782444,0.236624675
0.020000000,0.297500000,0.702500000,0.063575288,0.095301151,0.420925463,0.024826413,0.322895448,0.072476238,0.011610740,0.007534612,0.038601813,0.231108339,0.014242103,0.015991341,0.003791380,0.053461677,0.014841334,0.257890565,0.003215946,0.003422995,0.001377996,0.008631498,0.002013808,0.001713874,0.032668168,0.001279241,0.017805018,0.158254130,0.003270244,0.004595633,0.005697858,0.006505588,0.000382909,0.005614240,0.047499868,0.159963645
0.030000000,0.375500000,0.624500000,0.100155578,0.111917959,0.328031016,0.040727364,0.357316158,0.061851926,0.022453489,0.011830004,0.039320361,0.157351892,0.027927272,0.024001108,0.005869051,0.054818509,0.015329754,0.176763274,0.007850822,0.006402506,0.002708155,0.011315983,0.002759686,0.002313029,0.029450868,0.001800055,0.016103986,0.095423730,0.007983431,0.008652522,0.007784906,0.005795642,0.000774288,0.007557894,0.042776402,0.096558908
0.040000000,0.340500000,0.659500000,0.085048524,0.096062031,0.374876938,0.030779390,0.353282141,0.059950975,0.018259962,0.008377885,0.035275514,0.196056863,0.022196323,0.018893056,0.004169869,0.051082867,0.013502205,0.217481933,0.005832427,0.004734651,0.001778839,0.009688684,0.001978996,0.001756149,0.029569630,0.001319625,0.015335266,0.126341795,0.005935067,0.006291919,0.006167840,0.005336275,0.000467011,0.005849276,0.042880200,0.127665765
0.050000000,0.327500000,0.672500000,0.079120560,0.093190095,0.387484742,0.028025513,0.347517759,0.064661331,0.016714004,0.008037141,0.034772421,0.205518411,0.020043555,0.017457635,0.003967784,0.049735191,0.013390039,0.228328495,0.005114346,0.004237875,0.001638635,0.008914763,0.001874099,0.001614300,0.029226136,0.001219147,0.015396987,0.134741729,0.005201546,0.005651727,0.005610771,0.005516611,0.000455891,0.005430052,0.042305284,0.136151829
0.060000005,0.285500000,0.714500000,0.059204602,0.091864932,0.429846423,0.022203602,0.316318659,0.080561781,0.010626293,0.007503235,0.036440765,0.238085394,0.012879310,0.014989326,0.003635883,0.050738741,0.014154514,0.265835661,0.002824111,0.003119490,0.001308979,0.007877105,0.001832769,0.001520662,0.031242452,0.001193363,0.017008483,0.164743844,0.002870850,0.004209132,0.005222333,0.006200156,0.000382605,0.005106222,0.045100076,0.166754749
0.070000004,0.321000000,0.679000000,0.072895448,0.108136568,0.380125563,0.030036518,0.327999500,0.080806403,0.013746166,0.010111150,0.039197063,0.191994721,0.017276373,0.020204871,0.005044622,0.056284294,0.015630707,0.218795885,0.004125277,0.004613058,0.002017045,0.010138162,0.002521906,0.002107441,0.032276125,0.001678069,0.017445349,0.126206409,0.004194145,0.006304771,0.006980047,0.006227805,0.000588468,0.006898065,0.046796709,0.127854195
0.080000001,0.287000000,0.713000000,0.060046523,0.091013507,0.431902951,0.022220110,0.318453227,0.076363682,0.010714065,0.007271230,0.034955375,0.241658584,0.013121018,0.015241320,0.003574957,0.050763876,0.013609243,0.268528280,0.002886532,0.003207879,0.001306472,0.008147930,0.001771375,0.001511372,0.031450534,0.001183179,0.016403637,0.167249897,0.002936989,0.004302382,0.005334487,0.005704968,0.000378144,0.005057229,0.045513775,0.169140822
0.090000000,0.222500000,0.777500000,0.034164582,0.083946973,0.535301651,0.015255128,0.262213607,0.069118059,0.004312774,0.004830145,0.043975015,0.344296495,0.005480013,0.010110460,0.002457244,0.055582888,0.016226813,0.374789676,0.000887253,0.001526392,0.000619871,0.006532234,0.001734161,0.001447232,0.038889899,0.001045614,0.022502357,0.262684943,0.000901942,0.002030529,0.004787490,0.008260171,0.000164889,0.004532628,0.057308648,0.264875650
