# netcoevolve=0.1.0 n=1500 rho=1500 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.65 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=31229 (random) output_file=output/simulation-20260102-132331.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.360000000,0.640000000,0.064596842,0.230752057,0.204436736,0.064849455,0.230355348,0.205009562,0.005764457,0.031039339,0.055254300,0.032529968,0.011596843,0.041348995,0.020811404,0.073610985,0.036968784,0.065287892,0.002083299,0.007428193,0.007463447,0.013199342,0.013345638,0.006630639,0.023523716,0.006621389,0.023602182,0.020863898,0.002087163,0.011142020,0.019886339,0.011866650,0.003763546,0.019930006,0.035285285,0.020886643
0.000000000,0.360000000,0.640000000,0.064596842,0.230752057,0.204436736,0.064849455,0.230355348,0.205009562,0.005764457,0.031039339,0.055254300,0.032529968,0.011596843,0.041348995,0.020811404,0.073610985,0.036968784,0.065287892,0.002083299,0.007428193,0.007463447,0.013199342,0.013345638,0.006630639,0.023523716,0.006621389,0.023602182,0.020863898,0.002087163,0.011142020,0.019886339,0.011866650,0.003763546,0.019930006,0.035285285,0.020886643
0.010000002,0.496666667,0.503333333,0.181445408,0.126310874,0.192363798,0.065065599,0.374000445,0.060813876,0.056322014,0.022904281,0.025649097,0.064322912,0.069067048,0.039911113,0.010629582,0.042365749,0.011390601,0.076611835,0.026440720,0.014909464,0.007327636,0.012737291,0.003175947,0.002450282,0.016631223,0.002357650,0.008364430,0.030669911,0.026888287,0.020913197,0.008692274,0.002813095,0.002434273,0.008635701,0.023563273,0.031183526
0.020000003,0.634000000,0.366000000,0.314496776,0.110498555,0.099452079,0.087304425,0.353899044,0.034349122,0.136385799,0.028596132,0.013571454,0.022900656,0.161199742,0.049023676,0.012326059,0.025864457,0.006349833,0.028066832,0.082933073,0.024874827,0.011849872,0.011013884,0.002352607,0.001818307,0.007164827,0.001983641,0.003224441,0.007961969,0.084148674,0.035405902,0.006987878,0.000994054,0.003838181,0.006971910,0.009972553,0.008098043
0.030000009,0.697333333,0.302666667,0.420075606,0.083485879,0.069368913,0.066057372,0.338914832,0.022097398,0.235438738,0.031099746,0.006813003,0.013977397,0.258955788,0.046001950,0.011905411,0.014970414,0.003233420,0.016586076,0.159900341,0.028268451,0.014279235,0.007868574,0.001453026,0.001006258,0.003451341,0.001278606,0.001292206,0.003989898,0.161451229,0.040869801,0.004377135,0.000363961,0.004932888,0.004805137,0.004596763,0.004055086
0.040000002,0.746666667,0.253333333,0.480456304,0.094502113,0.044131643,0.076928619,0.284061374,0.019919947,0.283283513,0.044212546,0.006409285,0.006262750,0.315111959,0.058128975,0.016806728,0.013203854,0.003283746,0.008019809,0.206957531,0.038090830,0.021734345,0.007918299,0.002119644,0.001308878,0.002276459,0.001765385,0.000962155,0.001470541,0.209041937,0.055910831,0.005586905,0.000264906,0.007929221,0.005769171,0.003061409,0.001495239
0.050000001,0.656000000,0.344000000,0.348942851,0.111896820,0.084510563,0.081242606,0.339732266,0.033674894,0.165024196,0.035710116,0.011519093,0.017041904,0.190866657,0.055150424,0.014545890,0.023296791,0.005643282,0.021551963,0.104674010,0.030029816,0.015350623,0.011110397,0.002543034,0.001842440,0.005771525,0.002211168,0.002500873,0.005531976,0.106151961,0.043353113,0.007335192,0.000708550,0.005192513,0.007405125,0.007970863,0.005621093
0.060000002,0.656000000,0.344000000,0.356828108,0.109979097,0.083653992,0.073357349,0.341649989,0.034531465,0.176365273,0.039617916,0.010932197,0.017171813,0.199623099,0.055354809,0.015662818,0.021489816,0.005468169,0.021330328,0.111937903,0.030847892,0.017004688,0.010360582,0.002648141,0.001694390,0.005251142,0.002174733,0.002315662,0.005485590,0.113347426,0.044714537,0.007142610,0.000692140,0.006142913,0.007196546,0.007108788,0.005583451
0.070000016,0.742000000,0.258000000,0.470567934,0.089998666,0.047509895,0.079868357,0.293128753,0.018926395,0.274872126,0.038460247,0.006413472,0.007289911,0.305439438,0.053502934,0.014782015,0.013385357,0.003169946,0.009113627,0.198593075,0.034656243,0.018764283,0.007695835,0.001802441,0.001191802,0.002460427,0.001533080,0.001007744,0.001761408,0.200766146,0.050508899,0.004981250,0.000281263,0.006639616,0.005288941,0.003321253,0.001790312
0.080000003,0.742666667,0.257333333,0.472782744,0.095117634,0.046080498,0.078643540,0.287363131,0.020012453,0.279599049,0.042428149,0.006898836,0.006731154,0.308599134,0.056814158,0.016269723,0.013805159,0.003490119,0.008598046,0.201790628,0.037007237,0.020731337,0.007978213,0.002092629,0.001311851,0.002463029,0.001719694,0.001077352,0.001617251,0.203881187,0.054143840,0.005506360,0.000317858,0.007381553,0.005840312,0.003306278,0.001645762
0.090000001,0.694666667,0.305333333,0.407881699,0.093203469,0.068661775,0.074538581,0.331289304,0.024425172,0.219797687,0.034187292,0.008092908,0.013154811,0.245650716,0.050406121,0.013316594,0.016982683,0.003852047,0.016065221,0.148241362,0.030251021,0.015581361,0.008820955,0.001817937,0.001286795,0.003830901,0.001578953,0.001526943,0.003783824,0.150080146,0.043622190,0.005342555,0.000424377,0.005319632,0.005768028,0.005164719,0.003846189
0.100000000,0.734666667,0.265333333,0.465505893,0.097232822,0.048315766,0.074099177,0.292890371,0.021955971,0.272587193,0.047681490,0.007113003,0.007403058,0.301352716,0.058501698,0.017967694,0.013639838,0.003572002,0.009248407,0.195393548,0.037819206,0.022947393,0.007921444,0.002345877,0.001369724,0.002435140,0.001847901,0.001068648,0.001790896,0.197472951,0.055372838,0.005874063,0.000308294,0.008812807,0.006037947,0.003240670,0.001822030
0.110000005,0.806000000,0.194000000,0.607383589,0.039771403,0.030879253,0.042148099,0.273165221,0.006652435,0.439270889,0.020714837,0.001388635,0.004619388,0.461365926,0.028245868,0.007347069,0.004218733,0.000663828,0.005119518,0.350727271,0.021452726,0.011084135,0.002871099,0.000361949,0.000223685,0.000669082,0.000330328,0.000166477,0.000852325,0.352341513,0.031240820,0.001188176,0.000037661,0.004023320,0.001541609,0.000835874,0.000863463
0.120000001,0.837333333,0.162666667,0.644070269,0.041968423,0.020822771,0.056965977,0.230625751,0.005546809,0.471988272,0.023901092,0.001398258,0.002481047,0.500998270,0.030353311,0.008552714,0.003585241,0.000674289,0.002799147,0.390082847,0.023590998,0.013211356,0.002468401,0.000422308,0.000247243,0.000454612,0.000360587,0.000134686,0.000378593,0.392496275,0.034302191,0.001258471,0.000032339,0.004960819,0.001512156,0.000566075,0.000384598
0.130000000,0.874000000,0.126000000,0.745014899,0.015226151,0.014135646,0.018787636,0.205168779,0.001666889,0.625551298,0.010047513,0.000256827,0.001542053,0.636735538,0.012311778,0.003421286,0.000970521,0.000110549,0.001629716,0.544566671,0.010526602,0.005840152,0.000747560,0.000059580,0.000035628,0.000107412,0.000051089,0.000019056,0.000188291,0.545637499,0.015375231,0.000212467,0.000004049,0.002111728,0.000436510,0.000120697,0.000189976
0.140002976,0.896000000,0.104000000,0.802503891,0.000024016,0.010753836,0.000249944,0.186468312,0.000000000,0.717109684,0.000000000,0.000000491,0.001103324,0.717826606,0.000017729,0.000000008,0.000002480,0.000000172,0.001110489,0.642512470,0.000015873,0.000000012,0.000001832,0.000000000,0.000000000,0.000000256,0.000000000,0.000000035,0.000114751,0.642527404,0.000019753,0.000000371,0.000000003,0.000000000,0.000000002,0.000000384,0.000114751
0.150000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.160000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.170000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.180000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.190000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.200000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.210000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.220000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
0.230000000,0.896000000,0.104000000,0.802753836,0.000000000,0.010753836,0.000000000,0.186492328,0.000000000,0.717718300,0.000000000,0.000000000,0.001103324,0.718253113,0.000000000,0.000000000,0.000000000,0.000000000,0.001110489,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751,0.643075954,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000114751
