# netcoevolve=0.1.0 n=1500 rho=1500 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.65 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=58136 (random) output_file=output/simulation-20260102-131236.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.354000000,0.646000000,0.062593729,0.228482989,0.209174116,0.062569713,0.229190127,0.207989326,0.005520608,0.030219339,0.055322535,0.033874603,0.011076017,0.040348064,0.020216123,0.073882908,0.036854673,0.067706161,0.001961219,0.007144400,0.007144772,0.013055742,0.013052229,0.006528409,0.023930600,0.006506463,0.023850793,0.021929968,0.001965287,0.010717152,0.019538495,0.011908968,0.003586875,0.019624215,0.035895410,0.021951334
0.000000000,0.354000000,0.646000000,0.062593729,0.228482989,0.209174116,0.062569713,0.229190127,0.207989326,0.005520608,0.030219339,0.055322535,0.033874603,0.011076017,0.040348064,0.020216123,0.073882908,0.036854673,0.067706161,0.001961219,0.007144400,0.007144772,0.013055742,0.013052229,0.006528409,0.023930600,0.006506463,0.023850793,0.021929968,0.001965287,0.010717152,0.019538495,0.011908968,0.003586875,0.019624215,0.035895410,0.021951334
0.010000000,0.332000000,0.668000000,0.081725595,0.093786080,0.382691572,0.028350456,0.350061819,0.063384479,0.017249831,0.008357495,0.033227710,0.202012432,0.020946081,0.018497528,0.004049588,0.049739241,0.012827539,0.224179986,0.005402466,0.004574274,0.001739584,0.009442868,0.001832280,0.001635059,0.029061614,0.001284425,0.014636303,0.131539429,0.005494843,0.006116192,0.005946767,0.004953956,0.000468210,0.005535461,0.041993088,0.132989594
0.020000006,0.407333333,0.592666667,0.119902157,0.117683789,0.281874138,0.045857238,0.365464087,0.069218590,0.029686624,0.014862900,0.032923152,0.119590196,0.036812480,0.028956643,0.007266531,0.050863556,0.013690868,0.138439945,0.011376073,0.008645823,0.003870309,0.011998625,0.002844136,0.002343506,0.024826738,0.001986784,0.012814858,0.068194072,0.011568755,0.011912919,0.007986037,0.004447478,0.001176861,0.007963263,0.035613652,0.069196837
0.030000003,0.524666667,0.475333333,0.210009340,0.129502335,0.163165666,0.065099400,0.369613520,0.062609740,0.072511511,0.027778448,0.020927749,0.045856137,0.087126080,0.046852338,0.012192941,0.039179243,0.009929675,0.057996522,0.036305054,0.019241948,0.009483950,0.013682011,0.003233600,0.002521501,0.013684008,0.002695516,0.006402276,0.020722710,0.036891514,0.027534358,0.009141095,0.001961443,0.003030714,0.009335919,0.019193225,0.021072470
0.040000000,0.508000000,0.492000000,0.196932177,0.115282188,0.188618190,0.060965088,0.384923282,0.053279075,0.064727237,0.020704900,0.020987371,0.063441090,0.078695241,0.039500650,0.009289445,0.038945236,0.009269132,0.074911981,0.031569696,0.015573652,0.006851584,0.012853864,0.002476362,0.002097413,0.015299535,0.002103078,0.006799797,0.029864964,0.032035526,0.021882608,0.007930380,0.002046919,0.002099115,0.007588812,0.021632076,0.030328472
0.050000000,0.445333333,0.554666667,0.154030687,0.098052924,0.253794974,0.044126306,0.396299755,0.053695352,0.046990626,0.013165294,0.023139300,0.104430025,0.055291391,0.028093561,0.006008121,0.040171750,0.009441367,0.119228670,0.019937745,0.009873801,0.003812025,0.011005996,0.001801788,0.001637892,0.018752909,0.001435522,0.008457652,0.056140889,0.020243217,0.013548527,0.006096701,0.002759002,0.001079025,0.005986306,0.026644394,0.056850891
0.060000001,0.364000000,0.636000000,0.099929731,0.102776073,0.324403825,0.032411830,0.360540805,0.079937736,0.024057701,0.012433264,0.029036626,0.148417054,0.028646526,0.023333879,0.005697814,0.046392459,0.011992101,0.171074355,0.008260151,0.006524674,0.002885866,0.009962229,0.002079678,0.001728594,0.024213338,0.001530073,0.011964660,0.090537158,0.008400603,0.008971693,0.006206049,0.004074963,0.000893415,0.006219124,0.034341738,0.091846547
0.070000010,0.402666667,0.597333333,0.121198132,0.108308650,0.288121859,0.040781855,0.373064710,0.068524794,0.031388304,0.013501792,0.029073977,0.124035262,0.037965640,0.027241571,0.006332306,0.047191467,0.011957665,0.143235649,0.011959832,0.008326869,0.003480189,0.011357728,0.002281339,0.001983149,0.023298319,0.001722830,0.011346119,0.071415320,0.012152675,0.011480592,0.006997438,0.003807290,0.001012559,0.006875802,0.033329801,0.072401334
0.080000003,0.434666667,0.565333333,0.138159662,0.118944185,0.253435624,0.050611519,0.372846787,0.066002224,0.036836473,0.016856213,0.029790140,0.101351904,0.045629000,0.032200043,0.007997983,0.047860933,0.012562566,0.117694081,0.015157630,0.010387934,0.004690312,0.012406679,0.002810233,0.002326048,0.022037006,0.002083859,0.011010603,0.054853681,0.015416910,0.014356738,0.008252235,0.003673913,0.001444912,0.007971965,0.031519057,0.055677969
